start.country,start.city,start.latitude,start.longitude,end.country,end.city,end.latitude,end.longitude,date,journey,number.of.letters
USA,Camp,31.968599,-99.901813,USA,Industry,29.972446,-96.502193,01-08-1862,-99.901813 31.968599 -99.901813 31.968599,5
USA,Caldwell,30.531315,-96.69303,USA,Industry,29.972446,-96.502193,21-08-1862,-96.69303 30.531315 -96.69303 30.531315,1
USA,Camp,31.008,-96.49298,USA,Industry,29.972446,-96.502193,24-08-1862,-96.49298 31.008 -96.49298 31.008,1
USA,Camp,30.89769,-96.389964,USA,Industry,29.972446,-96.502193,25-08-1862,-96.389964 30.89769 -96.389964 30.89769,1
USA,Camp,30.988848,-95.940971,USA,Industry,29.972446,-96.502193,26-08-1862,-95.940971 30.988848 -95.940971 30.988848,1
USA,Camp,29.246999,-103.012284,USA,Industry,29.972446,-96.502193,28-08-1862,-103.012284 29.246999 -103.012284 29.246999,1
USA,Camp,31.798183,-95.143207,USA,Industry,29.972446,-96.502193,05-09-1862,-95.143207 31.798183 -95.143207 31.798183,1
USA,Camp,31.635307,-94.645035,USA,Industry,29.972446,-96.502193,07-09-1862,-94.645035 31.635307 -94.645035 31.635307,1
USA,Camp,32.525152,-93.750179,USA,Industry,29.972446,-96.502193,17-09-1862,-93.750179 32.525152 -93.750179 32.525152,2
USA,Camp,32.525152,-93.750179,USA,Industry,29.972446,-96.502193,21-09-1862,-93.750179 32.525152 -93.750179 32.525152,2
USA,Monroe,32.509311,-92.119301,USA,Industry,29.972446,-96.502193,28-09-1862,-92.119301 32.509311 -92.119301 32.509311,2
USA,Vicksburg,32.352646,-90.877882,USA,Industry,29.972446,-96.502193,05-10-1862,-90.877882 32.352646 -90.877882 32.352646,14
USA,Vicksburg,32.352646,-90.877882,USA,Industry,29.972446,-96.502193,07-10-1862,-90.877882 32.352646 -90.877882 32.352646,14
USA,Holly,34.767597,-89.448689,USA,Industry,29.972446,-96.502193,18-10-1862,-89.448689 34.767597 -89.448689 34.767597,4
USA,Holly,34.767597,-89.448689,USA,Industry,29.972446,-96.502193,21-10-1862,-89.448689 34.767597 -89.448689 34.767597,4
USA,Camp,34.767597,-89.448689,USA,Industry,29.972446,-96.502193,03-11-1862,-89.448689 34.767597 -89.448689 34.767597,4
USA,Camp,34.767597,-89.448689,USA,Industry,29.972446,-96.502193,12-11-1862,-89.448689 34.767597 -89.448689 34.767597,4
USA,Camp,34.503159,-89.503137,USA,Industry,29.972446,-96.502193,14-11-1862,-89.503137 34.503159 -89.503137 34.503159,1
USA,Camp,33.769005,-89.808419,USA,Industry,29.972446,-96.502193,10-12-1862,-89.808419 33.769005 -89.808419 33.769005,7
USA,Grenada,33.769005,-89.808419,USA,Houston,29.760427,-95.369803,18-12-1862,-89.808419 33.769005 -89.808419 33.769005,7
USA,Grenada,33.769005,-89.808419,USA,Houston,29.760427,-95.369803,29-12-1862,-89.808419 33.769005 -89.808419 33.769005,7
USA,Grenada,33.769005,-89.808419,USA,Houston,29.760427,-95.369803,07-01-1863,-89.808419 33.769005 -89.808419 33.769005,7
